dt_jour,magasin,article,qte,famille,contenance,unite,forme,couleur,enseigne,cluster
2023-06-15T00:00:00.000Z,hyper_1,POIREAU,1.085,LEGUMES,1.0,Kilos,ENTIER,null,Hyper,premium
2023-08-25T00:00:00.000Z,hyper_1,POIREAU,2.87,LEGUMES,1.0,Kilos,ENTIER,null,Hyper,premium
2024-01-13T00:00:00.000Z,hyper_1,POIREAU,6.05,LEGUMES,1.0,Kilos,ENTIER,null,Hyper,premium
2024-04-09T00:00:00.000Z,hyper_1,POIREAU,5.134,LEGUMES,1.0,Kilos,ENTIER,null,Hyper,premium
2025-03-23T00:00:00.000Z,hyper_1,POIREAU,4.664,LEGUMES,1.0,Kilos,ENTIER,null,Hyper,premium
2023-06-09T00:00:00.000Z,hyper_2,TOMATES,175.788,LEGUMES,1.0,Kilos,RONDE ,ROUGE,Hyper,premium+
2023-07-18T00:00:00.000Z,hyper_2,TOMATES,214.481,LEGUMES,1.0,Kilos,RONDE ,ROUGE,Hyper,premium+
2024-10-08T00:00:00.000Z,hyper_2,TOMATES,143.975,LEGUMES,1.0,Kilos,RONDE ,ROUGE,Hyper,premium+
2025-12-03T00:00:00.000Z,hyper_2,TOMATES,210.572,LEGUMES,1.0,Kilos,RONDE ,ROUGE,Hyper,premium+
2026-02-18T00:00:00.000Z,hyper_2,TOMATES,1068.011,LEGUMES,1.0,Kilos,RONDE ,ROUGE,Hyper,premium+
2023-11-04T00:00:00.000Z,super_1,POMME DE TERRE,11.0,LEGUMES,1.0,Kilos,ENTIER,BLANCHE,Super,mixte
2024-09-03T00:00:00.000Z,super_1,POMME DE TERRE,10.92,LEGUMES,1.0,Kilos,ENTIER,BLANCHE,Super,mixte
2024-09-10T00:00:00.000Z,super_1,POMME DE TERRE,21.587,LEGUMES,1.0,Kilos,ENTIER,BLANCHE,Super,mixte
2024-11-11T00:00:00.000Z,super_1,POMME DE TERRE,21.786,LEGUMES,1.0,Kilos,ENTIER,BLANCHE,Super,mixte
2025-03-04T00:00:00.000Z,super_1,POMME DE TERRE,14.489,LEGUMES,1.0,Kilos,ENTIER,BLANCHE,Super,mixte
2025-03-12T00:00:00.000Z,super_1,POMME DE TERRE,30.335,LEGUMES,1.0,Kilos,ENTIER,BLANCHE,Super,mixte
2025-08-02T00:00:00.000Z,super_1,POMME DE TERRE,14.644,LEGUMES,1.0,Kilos,ENTIER,BLANCHE,Super,mixte
2025-09-01T00:00:00.000Z,super_1,POMME DE TERRE,24.099,LEGUMES,1.0,Kilos,ENTIER,BLANCHE,Super,mixte
2023-04-06T00:00:00.000Z,super_2,POMME DE TERRE,18.451,LEGUMES,1.0,Kilos,ENTIER,BLANCHE,Super,premium+
2023-05-09T00:00:00.000Z,super_2,POMME DE TERRE,14.030000000000001,LEGUMES,1.0,Kilos,ENTIER,BLANCHE,Super,premium+
2024-08-25T00:00:00.000Z,super_2,POMME DE TERRE,24.927,LEGUMES,1.0,Kilos,ENTIER,BLANCHE,Super,premium+
2024-09-23T00:00:00.000Z,super_2,POMME DE TERRE,22.897,LEGUMES,1.0,Kilos,ENTIER,BLANCHE,Super,premium+
2024-12-21T00:00:00.000Z,super_2,POMME DE TERRE,26.816,LEGUMES,1.0,Kilos,ENTIER,BLANCHE,Super,premium+
2025-05-19T00:00:00.000Z,super_2,POMME DE TERRE,26.2,LEGUMES,1.0,Kilos,ENTIER,BLANCHE,Super,premium+
2025-12-03T00:00:00.000Z,super_2,POMME DE TERRE,39.53,LEGUMES,1.0,Kilos,ENTIER,BLANCHE,Super,premium+
2023-08-31T00:00:00.000Z,super_2,MANGUE,0.0,FRUITS,1.0,Piece,ENTIER,null,Super,premium+
2023-10-19T00:00:00.000Z,super_2,MANGUE,0.0,FRUITS,1.0,Piece,ENTIER,null,Super,premium+
2024-08-02T00:00:00.000Z,super_2,MANGUE,20.0,FRUITS,1.0,Piece,ENTIER,null,Super,premium+
2024-08-10T00:00:00.000Z,super_2,MANGUE,9.0,FRUITS,1.0,Piece,ENTIER,null,Super,premium+
2024-08-12T00:00:00.000Z,super_2,MANGUE,21.0,FRUITS,1.0,Piece,ENTIER,null,Super,premium+
2024-09-11T00:00:00.000Z,super_2,MANGUE,21.0,FRUITS,1.0,Piece,ENTIER,null,Super,premium+
2024-11-10T00:00:00.000Z,super_2,MANGUE,4.0,FRUITS,1.0,Piece,ENTIER,null,Super,premium+
2025-01-01T00:00:00.000Z,super_2,MANGUE,8.0,FRUITS,1.0,Piece,ENTIER,null,Super,premium+
2024-03-23T00:00:00.000Z,super_2,ANANAS,19.0,FRUITS,1.0,Piece,MC,null,Super,premium+
2024-08-31T00:00:00.000Z,super_2,ANANAS,1.0,FRUITS,1.0,Piece,MC,null,Super,premium+
2025-04-25T00:00:00.000Z,super_2,ANANAS,0.0,FRUITS,1.0,Piece,MC,null,Super,premium+
2025-05-28T00:00:00.000Z,super_2,ANANAS,0.0,FRUITS,1.0,Piece,MC,null,Super,premium+
2026-02-16T00:00:00.000Z,super_2,ANANAS,0.0,FRUITS,1.0,Piece,MC,null,Super,premium+
2023-10-17T00:00:00.000Z,super_1,ORANGE,5.835,FRUITS,1.0,Kilos,ENTIER,null,Super,mixte
2024-02-27T00:00:00.000Z,super_1,ORANGE,10.325,FRUITS,1.0,Kilos,ENTIER,null,Super,mixte
2024-03-12T00:00:00.000Z,super_1,ORANGE,0.605,FRUITS,1.0,Kilos,ENTIER,null,Super,mixte
2024-03-13T00:00:00.000Z,super_1,ORANGE,3.43,FRUITS,1.0,Kilos,ENTIER,null,Super,mixte
2024-04-12T00:00:00.000Z,super_1,ORANGE,2.745,FRUITS,1.0,Kilos,ENTIER,null,Super,mixte
2024-06-01T00:00:00.000Z,super_1,ORANGE,5.486,FRUITS,1.0,Kilos,ENTIER,null,Super,mixte
2024-08-23T00:00:00.000Z,super_1,ORANGE,0.0,FRUITS,1.0,Kilos,ENTIER,null,Super,mixte
2025-01-02T00:00:00.000Z,super_1,ORANGE,4.392,FRUITS,1.0,Kilos,ENTIER,null,Super,mixte
2026-01-03T00:00:00.000Z,super_1,ORANGE,0.0,FRUITS,1.0,Kilos,ENTIER,null,Super,mixte
2023-04-03T00:00:00.000Z,super_2,POIREAU,9.25,LEGUMES,1.0,Kilos,ENTIER,null,Super,premium+
2023-06-14T00:00:00.000Z,super_2,POIREAU,0.925,LEGUMES,1.0,Kilos,ENTIER,null,Super,premium+
2024-01-01T00:00:00.000Z,super_2,POIREAU,2.87,LEGUMES,1.0,Kilos,ENTIER,null,Super,premium+
2025-08-19T00:00:00.000Z,super_2,POIREAU,1.19,LEGUMES,1.0,Kilos,ENTIER,null,Super,premium+
2025-10-28T00:00:00.000Z,super_2,POIREAU,3.454,LEGUMES,1.0,Kilos,ENTIER,null,Super,premium+
2025-12-18T00:00:00.000Z,super_2,POIREAU,1.196,LEGUMES,1.0,Kilos,ENTIER,null,Super,premium+
2026-01-26T00:00:00.000Z,super_2,POIREAU,4.135,LEGUMES,1.0,Kilos,ENTIER,null,Super,premium+
2023-08-09T00:00:00.000Z,hyper_3,ORANGE,0.0,FRUITS,1.0,Kilos,ENTIER,null,Hyper,mixte+
2023-10-28T00:00:00.000Z,hyper_3,ORANGE,37.003,FRUITS,1.0,Kilos,ENTIER,null,Hyper,mixte+
2024-09-23T00:00:00.000Z,hyper_3,ORANGE,0.0,FRUITS,1.0,Kilos,ENTIER,null,Hyper,mixte+
2025-05-07T00:00:00.000Z,hyper_3,ORANGE,10.28,FRUITS,1.0,Kilos,ENTIER,null,Hyper,mixte+
2025-09-18T00:00:00.000Z,hyper_3,ORANGE,0.0,FRUITS,1.0,Kilos,ENTIER,null,Hyper,mixte+
2023-10-06T00:00:00.000Z,hyper_2,CAROTTE,113.292,LEGUMES,1.0,Kilos,ENTIER,ROUGE,Hyper,premium+
2023-10-23T00:00:00.000Z,hyper_2,CAROTTE,118.62299999999999,LEGUMES,1.0,Kilos,ENTIER,ROUGE,Hyper,premium+
2023-11-28T00:00:00.000Z,hyper_2,CAROTTE,140.274,LEGUMES,1.0,Kilos,ENTIER,ROUGE,Hyper,premium+
2024-01-24T00:00:00.000Z,hyper_2,CAROTTE,120.05099999999999,LEGUMES,1.0,Kilos,ENTIER,ROUGE,Hyper,premium+
2024-02-11T00:00:00.000Z,hyper_2,CAROTTE,214.155,LEGUMES,1.0,Kilos,ENTIER,ROUGE,Hyper,premium+
2024-11-15T00:00:00.000Z,hyper_2,CAROTTE,62.043,LEGUMES,1.0,Kilos,ENTIER,ROUGE,Hyper,premium+
2024-11-23T00:00:00.000Z,hyper_2,CAROTTE,129.813,LEGUMES,1.0,Kilos,ENTIER,ROUGE,Hyper,premium+
2025-01-26T00:00:00.000Z,hyper_2,CAROTTE,191.219,LEGUMES,1.0,Kilos,ENTIER,ROUGE,Hyper,premium+
2025-04-25T00:00:00.000Z,hyper_2,CAROTTE,87.324,LEGUMES,1.0,Kilos,ENTIER,ROUGE,Hyper,premium+
2024-11-03T00:00:00.000Z,hyper_2,ANANAS,68.0,FRUITS,1.0,Piece,MC,null,Hyper,premium+
2025-05-22T00:00:00.000Z,hyper_2,ANANAS,0.0,FRUITS,1.0,Piece,MC,null,Hyper,premium+
2023-08-27T00:00:00.000Z,super_2,TOMATES,69.894,LEGUMES,1.0,Kilos,RONDE ,ROUGE,Super,premium+
2024-01-06T00:00:00.000Z,super_2,TOMATES,78.991,LEGUMES,1.0,Kilos,RONDE ,ROUGE,Super,premium+
2025-09-04T00:00:00.000Z,super_2,TOMATES,56.973,LEGUMES,1.0,Kilos,RONDE ,ROUGE,Super,premium+
2025-12-31T00:00:00.000Z,super_2,TOMATES,54.285,LEGUMES,1.0,Kilos,RONDE ,ROUGE,Super,premium+
2023-05-21T00:00:00.000Z,super_2,BANANE,54.204,FRUITS,1.0,Kilos,ENTIER,null,Super,premium+
